IMIĘ_2;PŁEĆ;LICZBA
MARIA;K;2186
ANNA;K;1402
ZOFIA;K;823
HELENA;K;427
ŁUCJA;K;423
MAGDALENA;K;422
WIKTORIA;K;417
JULIA;K;416
KATARZYNA;K;397
ALEKSANDRA;K;387
BARBARA;K;382
ALICJA;K;347
MAŁGORZATA;K;335
EWA;K;330
ZUZANNA;K;294
WERONIKA;K;278
ELŻBIETA;K;277
LAURA;K;275
NATALIA;K;275
MAJA;K;272
EMILIA;K;269
KAROLINA;K;251
JOANNA;K;246
TERESA;K;243
RÓŻA;K;239
RITA;K;234
HANNA;K;229
KRYSTYNA;K;229
AGNIESZKA;K;227
ANTONINA;K;221
JANINA;K;213
MARTA;K;212
JADWIGA;K;211
MONIKA;K;209
OLIWIA;K;201
ANASTAZJA;K;197
KLARA;K;197
AMELIA;K;183
ANIELA;K;183
MARIANNA;K;174
MICHALINA;K;168
GABRIELA;K;164
IRENA;K;162
DANUTA;K;155
DOROTA;K;155
ROZALIA;K;149
AGATA;K;132
PAULINA;K;131
WANDA;K;131
IZABELA;K;128
URSZULA;K;121
BEATA;K;120
KINGA;K;119
KLAUDIA;K;114
JAGODA;K;111
AURELIA;K;110
PATRYCJA;K;107
POLA;K;103
LENA;K;102
DOMINIKA;K;101
KAMILA;K;99
MARCELINA;K;93
MARTYNA;K;93
KORNELIA;K;87
JUSTYNA;K;86
STEFANIA;K;84
HALINA;K;76
STANISŁAWA;K;73
JOLANTA;K;72
LIDIA;K;72
IGA;K;69
IWONA;K;68
FAUSTYNA;K;66
LILIANA;K;66
EWELINA;K;63
NIKOLA;K;62
RENATA;K;62
SYLWIA;K;62
SARA;K;58
MATYLDA;K;57
DARIA;K;56
BLANKA;K;52
ELIZA;K;51
JÓZEFA;K;49
MILENA;K;49
NADIA;K;48
JAŚMINA;K;47
LILIANNA;K;47
NINA;K;46
ADRIANNA;K;45
EDYTA;K;45
MIA;K;45
GRAŻYNA;K;44
BOŻENA;K;42
MARZENA;K;41
ANETA;K;40
CECYLIA;K;37
SANDRA;K;37
ANGELIKA;K;36
AURORA;K;36
FRANCISZKA;K;35
LUCYNA;K;35
JÓZEFINA;K;33
FELICJA;K;31
KAJA;K;31
SOFIA;K;30
ALINA;K;29
DIANA;K;29
NELA;K;29
APOLONIA;K;27
GAJA;K;27
WIOLETTA;K;25
BOGUMIŁA;K;24
LEOKADIA;K;24
MALWINA;K;24
LUIZA;K;23
MELANIA;K;23
WIESŁAWA;K;23
ADELA;K;21
KALINA;K;21
ROKSANA;K;21
SABINA;K;18
CELINA;K;17
HENRYKA;K;17
KAZIMIERA;K;17
OLGA;K;17
ANITA;K;16
LIWIA;K;16
BRONISŁAWA;K;15
DAGMARA;K;15
ESTERA;K;15
REGINA;K;14
FLORENTYNA;K;13
HIACYNTA;K;13
KONSTANCJA;K;13
NADZIEJA;K;13
WALERIA;K;13
WŁADYSŁAWA;K;13
ELENA;K;12
EMMA;K;12
MARIOLA;K;12
ŻANETA;K;12
DANIELA;K;11
MARLENA;K;11
KARINA;K;10
MELISA;K;10
NEL;K;10
NOEMI;K;10
WIOLETA;K;10
ELEONORA;K;9
GENOWEFA;K;9
GLORIA;K;9
IDA;K;9
ILONA;K;9
KLEMENTYNA;K;9
MIROSŁAWA;K;9
OTYLIA;K;9
ZOJA;K;9
EUGENIA;K;8
LEA;K;8
ROSE;K;8
BIANKA;K;7
CZESŁAWA;K;7
IZABELLA;K;7
JUDYTA;K;7
JULIANNA;K;7
LILIA;K;7
OLIMPIA;K;7
PAULA;K;7
WALENTYNA;K;7
BOGUSŁAWA;K;6
HONORATA;K;6
LUNA;K;6
NATASZA;K;6
SONIA;K;6
VANESSA;K;6
ADA;K;5
ADRIANA;K;5
MIRIAM;K;5
OLIVIA;K;5
VICTORIA;K;5
ALEXANDRA;K;4
DOBRAWA;K;4
FILOMENA;K;4
GRACJA;K;4
INEZ;K;4
INKA;K;4
JAGNA;K;4
KATALEJA;K;4
LARA;K;4
LUDMIŁA;K;4
MARIKA;K;4
NAOMI;K;4
TEODORA;K;4
VIOLETTA;K;4
ZOE;K;4
BERNADETTA;K;3
CHARLOTTE;K;3
IDALIA;K;3
INGA;K;3
LEONIA;K;3
MAGDA;K;3
NICOLA;K;3
